,(1+p1),(1-p1),(x-z),(z+x),(z-x),expected_post,flip,p1,post-init,x,z
76,1.1,0.9,18,18,-18,8.762,0,0.1,8.762,18,0
77,1.14,0.86,1,21,-1,16.132,0,0.14,6.1320000000000014,11,10
78,1.94,0.06,-12,20,12,16.058,0,0.94,0.05799999999999983,4,16
79,1.53,0.47,-7,25,7,16.818,0,0.53,0.8180000000000014,9,16
80,1.16,0.84,3,11,-3,9.358,0,0.16,5.3580000000000005,7,4
81,1.64,0.36,7,23,-7,8.544,0,0.64,0.5440000000000005,15,8
82,1.9,0.1,-17,19,17,18.132,0,0.9,0.13200000000000145,1,18
83,1.74,0.26,-6,26,6,16.352,0,0.74,0.3520000000000003,10,16
84,1.94,0.06,-12,26,12,19.056,0,0.94,0.05600000000000094,7,19
85,1.72,0.28,13,19,-13,3.33,0,0.72,0.33000000000000007,16,3
86,1.3,0.7,2,22,-2,12.36,0,0.3,2.3599999999999994,12,10
87,1.7,0.3,13,25,-13,6.414,0,0.7,0.4139999999999997,19,6
88,1.11,0.89,8,26,-8,17.15,0,0.11,8.149999999999999,17,9
89,1.47,0.53,-3,21,3,13.294,0,0.47,1.2940000000000005,9,12
90,1.89,0.11,-6,12,6,9.104,0,0.89,0.1039999999999992,3,9
91,1.39,0.61,7,29,-7,12.798,0,0.39,1.798,18,11
92,1.79,0.21,2,14,-2,6.264,0,0.79,0.26400000000000023,8,6
93,1.28,0.72,-14,20,14,19.51,0,0.28,2.5100000000000016,3,17
94,1.09,0.91,-1,31,1,25.806,0,0.09,9.806000000000001,15,16
95,1.17,0.83,-5,35,5,25.634,0,0.17,5.634,15,20
96,1.67,0.33,-8,26,8,17.5,0,0.67,0.5,9,17
97,1.4,0.6,12,16,-12,3.37,0,0.4,1.37,14,2
98,1.05,0.95,7,13,-7,22.628,0,0.05,19.628,10,3
99,1.8,0.2,8,18,-8,5.248,0,0.8,0.24800000000000022,13,5
100,1.68,0.32,3,15,-3,6.486,0,0.68,0.48599999999999977,9,6
101,1.22,0.78,5,25,-5,13.556,0,0.22,3.555999999999999,15,10
102,1.62,0.38,3,17,-3,7.66,0,0.62,0.6600000000000001,10,7
103,1.63,0.37,2,28,-2,13.586,0,0.63,0.5860000000000003,15,13
104,1.67,0.33,-9,11,9,10.508,0,0.67,0.5079999999999991,1,10
105,1.77,0.23,5,17,-5,6.324,0,0.77,0.32399999999999984,11,6
106,1.63,0.37,-3,23,3,13.552,0,0.63,0.5519999999999996,10,13
107,1.55,0.45,-2,4,2,3.812,0,0.55,0.8119999999999998,1,3
108,1.71,0.29,-1,21,1,11.376,0,0.71,0.37599999999999945,10,11
109,1.19,0.81,6,12,-6,7.242,0,0.19,4.242,9,3
110,1.34,0.66,-13,17,13,16.946,0,0.34,1.9460000000000015,2,15
111,1.24,0.76,4,36,-4,19.248,0,0.24,3.248000000000001,20,16
112,1.85,0.15,-5,25,5,15.164,0,0.85,0.1639999999999997,10,15
113,1.08,0.92,9,31,-9,21.826,0,0.08,10.826,20,11
114,1.69,0.31,-3,37,3,20.476,0,0.69,0.4759999999999991,17,20
115,1.35,0.65,-6,34,6,21.658,0,0.35,1.6580000000000013,14,20
116,1.85,0.15,-7,31,7,19.17,0,0.85,0.1700000000000017,12,19
117,1.65,0.35,-6,6,6,6.562,0,0.65,0.5620000000000003,0,6
118,1.92,0.08,-8,12,8,10.102,0,0.92,0.10200000000000031,2,10
119,1.83,0.17,-3,17,3,10.176,0,0.83,0.17600000000000016,7,10
120,1.09,0.91,4,26,-4,20.634,0,0.09,9.634,15,11
121,1.95,0.05,-14,20,14,17.054,0,0.95,0.053999999999998494,3,17
122,1.67,0.33,0,4,0,2.5,0,0.67,0.5,2,2
123,1.94,0.06,3,7,-3,2.066,0,0.94,0.06599999999999984,5,2
124,1.38,0.62,8,32,-8,13.626,0,0.38,1.6259999999999994,20,12
125,1.76,0.24,-9,27,9,18.296,0,0.76,0.2959999999999994,9,18
126,1.34,0.66,11,19,-11,5.988,0,0.34,1.9880000000000004,15,4
127,1.76,0.24,-3,11,3,7.348,0,0.76,0.34799999999999986,4,7
128,1.59,0.41,1,5,-1,2.818,0,0.59,0.8180000000000001,3,2
129,1.64,0.36,3,9,-3,3.55,0,0.64,0.5499999999999998,6,3
130,1.66,0.34,-4,4,4,4.47,0,0.66,0.46999999999999975,0,4
131,1.43,0.57,-6,8,6,8.31,0,0.43,1.3100000000000005,1,7
132,1.55,0.45,-2,28,2,15.76,0,0.55,0.7599999999999998,13,15
133,1.61,0.39,15,19,-15,2.596,0,0.61,0.5960000000000001,17,2
134,1.08,0.92,4,24,-4,21.716,0,0.08,11.716000000000001,14,10
135,1.74,0.26,-1,35,1,18.352,0,0.74,0.3520000000000003,17,18
136,1.77,0.23,-2,16,2,9.294,0,0.77,0.2940000000000005,7,9
137,1.82,0.18,-13,21,13,17.166,0,0.82,0.16600000000000037,4,17
138,1.82,0.18,12,26,-12,7.23,0,0.82,0.23000000000000043,19,7
139,1.28,0.72,16,16,-16,2.642,0,0.28,2.642,16,0
140,1.94,0.06,-1,17,1,9.076,0,0.94,0.07600000000000051,8,9
141,1.31,0.69,1,1,-1,2.384,0,0.31,2.384,1,0
142,1.65,0.35,9,17,-9,4.528,0,0.65,0.5279999999999996,13,4
143,1.87,0.13,6,34,-6,14.154,0,0.87,0.15399999999999991,20,14
144,1.38,0.62,-19,21,19,21.508,0,0.38,1.5079999999999991,1,20
145,1.52,0.48,14,14,-14,1.0,0,0.52,1.0,14,0
146,1.84,0.16,1,1,-1,0.164,0,0.84,0.164,1,0
147,1.79,0.21,-7,27,7,17.286,0,0.79,0.28600000000000136,10,17
148,1.64,0.36,5,7,-5,1.6,0,0.64,0.6000000000000001,6,1
149,1.18,0.82,10,24,-10,11.51,0,0.18,4.51,17,7
150,1.33,0.67,4,30,-4,14.996,0,0.33,1.9960000000000004,17,13
151,1.79,0.21,20,20,-20,0.272,0,0.79,0.272,20,0
152,1.92,0.08,16,24,-16,4.098,0,0.92,0.09799999999999986,20,4
153,1.93,0.07,3,33,-3,15.074,0,0.93,0.07399999999999984,18,15
154,1.63,0.37,-1,11,1,6.554,0,0.63,0.5540000000000003,5,6
155,1.15,0.85,-14,26,14,26.004,0,0.15,6.004000000000001,6,20
156,1.18,0.82,17,17,-17,4.116,0,0.18,4.116,17,0
157,1.22,0.78,7,11,-7,5.662,0,0.22,3.662,9,2
158,1.61,0.39,0,14,0,7.614,0,0.61,0.6139999999999999,7,7
159,1.26,0.74,0,16,0,10.762,0,0.26,2.7620000000000005,8,8
160,1.53,0.47,-1,29,1,15.824,0,0.53,0.8239999999999998,14,15
161,1.06,0.94,4,32,-4,30.304,0,0.06,16.304,18,14
162,1.25,0.75,-4,26,4,18.102,0,0.25,3.1020000000000003,11,15
163,1.68,0.32,-6,18,6,12.53,0,0.68,0.5299999999999994,6,12
164,1.33,0.67,-6,22,6,16.006,0,0.33,2.0060000000000002,8,14
165,1.38,0.62,-7,23,7,16.654,0,0.38,1.654,8,15
166,1.65,0.35,7,27,-7,10.594,0,0.65,0.5939999999999994,17,10
167,1.77,0.23,15,21,-15,3.29,0,0.77,0.29000000000000004,18,3
168,1.61,0.39,14,18,-14,2.666,0,0.61,0.6659999999999999,16,2
169,1.64,0.36,3,7,-3,2.586,0,0.64,0.5859999999999999,5,2
170,1.27,0.73,12,24,-12,8.568,0,0.27,2.5679999999999996,18,6
171,1.92,0.08,-6,14,6,10.064,0,0.92,0.06400000000000006,4,10
172,1.57,0.43,1,23,-1,11.778,0,0.57,0.7780000000000005,12,11
173,1.71,0.29,7,17,-7,5.318,0,0.71,0.3179999999999996,12,5
174,1.86,0.14,0,14,0,7.13,0,0.86,0.1299999999999999,7,7
175,1.11,0.89,-9,27,9,25.734,0,0.11,7.734000000000002,9,18
176,1.85,0.15,1,5,-1,2.166,0,0.85,0.16599999999999993,3,2
177,1.43,0.57,3,11,-3,5.182,0,0.43,1.1820000000000004,7,4
178,1.76,0.24,-16,22,16,19.32,0,0.76,0.3200000000000003,3,19
179,1.49,0.51,4,26,-4,12.1,0,0.49,1.0999999999999996,15,11
180,1.84,0.16,-11,11,11,11.166,0,0.84,0.16600000000000037,0,11
181,1.34,0.66,13,21,-13,5.962,0,0.34,1.9619999999999997,17,4
182,1.72,0.28,-9,9,9,9.398,0,0.72,0.3979999999999997,0,9
183,1.4,0.6,5,9,-5,3.642,0,0.4,1.642,7,2
184,1.51,0.49,9,29,-9,11.042,0,0.51,1.0419999999999998,19,10
185,1.77,0.23,1,1,-1,0.286,0,0.77,0.286,1,0
186,1.6,0.4,-9,27,9,18.754,0,0.6,0.7540000000000013,9,18
187,1.51,0.49,14,22,-14,5.022,0,0.51,1.0220000000000002,18,4
188,1.28,0.72,12,20,-12,6.564,0,0.28,2.564,16,4
189,1.75,0.25,-3,19,3,11.336,0,0.75,0.3360000000000003,8,11
190,1.93,0.07,12,26,-12,7.094,0,0.93,0.0940000000000003,19,7
191,1.28,0.72,14,26,-14,8.558,0,0.28,2.558,20,6
192,1.84,0.16,8,20,-8,6.166,0,0.84,0.16600000000000037,14,6
193,1.63,0.37,1,17,-1,8.732,0,0.63,0.7319999999999993,9,8
194,1.55,0.45,4,26,-4,11.93,0,0.55,0.9299999999999997,15,11
195,1.8,0.2,-18,20,18,19.206,0,0.8,0.20599999999999952,1,19
196,1.05,0.95,-14,20,14,34.468,0,0.05,17.468000000000004,3,17
197,1.34,0.66,-14,16,14,17.012,0,0.34,2.0120000000000005,1,15
198,1.41,0.59,19,21,-19,2.328,0,0.41,1.3279999999999998,20,1
199,1.76,0.24,-3,13,3,8.32,0,0.76,0.3200000000000003,5,8
200,1.34,0.66,6,14,-6,5.868,0,0.34,1.8680000000000003,10,4
201,1.54,0.46,1,27,-1,13.896,0,0.54,0.8960000000000008,14,13
202,1.6,0.4,-14,18,14,16.594,0,0.6,0.5940000000000012,2,16
203,1.33,0.67,10,30,-10,12.096,0,0.33,2.096,20,10
204,1.92,0.08,6,28,-6,11.11,0,0.92,0.10999999999999943,17,11
205,1.35,0.65,5,5,-5,1.936,0,0.35,1.936,5,0
206,1.13,0.87,13,13,-13,6.402,0,0.13,6.402,13,0
207,1.87,0.13,8,16,-8,4.126,0,0.87,0.12600000000000033,12,4
208,1.26,0.74,4,30,-4,15.74,0,0.26,2.74,17,13
209,1.19,0.81,-2,32,2,21.15,0,0.19,4.149999999999999,15,17
210,1.16,0.84,-7,11,7,14.094,0,0.16,5.093999999999999,2,9
211,1.77,0.23,18,18,-18,0.326,0,0.77,0.326,18,0
212,1.15,0.85,0,16,0,14.462,0,0.15,6.462,8,8
213,1.66,0.34,-13,17,13,15.5,0,0.66,0.5,2,15
214,1.82,0.18,-4,34,4,19.226,0,0.82,0.2259999999999991,15,19
215,1.77,0.23,-5,13,5,9.296,0,0.77,0.2959999999999994,4,9
216,1.61,0.39,-8,10,8,9.644,0,0.61,0.6440000000000001,1,9
217,1.23,0.77,-6,14,6,13.458,0,0.23,3.458,4,10
218,1.48,0.52,-12,18,12,16.202,0,0.48,1.2020000000000017,3,15
219,1.2,0.8,14,26,-14,9.932,0,0.2,3.9320000000000004,20,6
220,1.33,0.67,0,0,0,2.1,0,0.33,2.1,0,0
221,1.13,0.87,-11,25,11,24.592,0,0.13,6.591999999999999,7,18
222,1.8,0.2,-3,7,3,5.258,0,0.8,0.258,2,5
223,1.39,0.61,14,16,-14,2.676,0,0.39,1.6760000000000002,15,1
224,1.6,0.4,-2,28,2,15.674,0,0.6,0.6739999999999995,13,15
225,1.9,0.1,-8,18,8,13.124,0,0.9,0.12400000000000055,5,13
226,1.22,0.78,-5,33,5,22.504,0,0.22,3.5040000000000013,14,19
227,1.62,0.38,12,26,-12,7.606,0,0.62,0.6059999999999999,19,7
228,1.63,0.37,-17,19,17,18.506,0,0.63,0.5060000000000002,1,18
229,1.82,0.18,-13,23,13,18.212,0,0.82,0.21199999999999974,5,18
230,1.62,0.38,10,28,-10,9.714,0,0.62,0.7140000000000004,19,9
231,1.9,0.1,16,22,-16,3.1,0,0.9,0.10000000000000009,19,3
232,1.09,0.91,8,26,-8,19.866,0,0.09,10.866,17,9
233,1.6,0.4,-5,19,5,12.668,0,0.6,0.6679999999999993,7,12
234,1.81,0.19,7,21,-7,7.198,0,0.81,0.1980000000000004,14,7
235,1.69,0.31,-11,13,11,12.442,0,0.69,0.44200000000000017,1,12
236,1.13,0.87,-6,32,6,25.382,0,0.13,6.3820000000000014,13,19
237,1.92,0.08,-6,16,6,11.092,0,0.92,0.09200000000000053,5,11
238,1.56,0.44,3,13,-3,5.728,0,0.56,0.7279999999999998,8,5
239,1.69,0.31,10,22,-10,6.45,0,0.69,0.4500000000000002,16,6
240,1.64,0.36,-17,19,17,18.512,0,0.64,0.5120000000000005,1,18
241,1.26,0.74,6,20,-6,9.886,0,0.26,2.8859999999999992,13,7
242,1.65,0.35,15,19,-15,2.518,0,0.65,0.5179999999999998,17,2
243,1.34,0.66,-5,19,5,14.116,0,0.34,2.1159999999999997,7,12
244,1.62,0.38,13,21,-13,4.604,0,0.62,0.6040000000000001,17,4
245,1.45,0.55,-1,27,1,15.206,0,0.45,1.2059999999999995,13,14
246,1.83,0.17,15,23,-15,4.212,0,0.83,0.21199999999999974,19,4
247,1.59,0.41,0,28,0,14.712,0,0.59,0.7119999999999997,14,14
