,(1+p),(1-p),(n*p+n),(n*p+x),(n*p+y),(n*p-n),(n*p-x),(n*p-y),(n+x),(n+y),(n-n*p),(n-x),(n-y),(x+y),(x-n),(x-n*p),(x-y),(y-n),(y-n*p),(y-x),expected_post,n,n*p,p,post-init,x,y
15,1.19,0.81,22.61,17.61,8.61,-15.39,-10.39,-1.39,33,24,15.39,5,14,19,-5,10.39,9,-14,1.39,-9,127.238,19,3.61,0.19,113.238,14,5
16,1.93,0.07,7.72,21.72,15.72,-0.28,-14.28,-8.28,22,16,0.28,-14,-8,30,14,14.28,6,8,8.28,-6,31.046,4,3.72,0.93,13.046,18,12
17,1.58,0.42,18.96,10.96,11.96,-5.04,2.96,1.96,16,17,5.04,8,7,9,-8,-2.96,-1,-7,-1.96,1,74.79,12,6.96,0.58,70.79,4,5
18,1.29,0.71,9.03,10.03,8.03,-4.97,-5.97,-3.97,15,13,4.97,-1,1,14,1,5.97,2,-1,3.97,-2,45.964,7,2.03,0.29,37.964,8,6
19,1.68,0.32,28.56,12.56,12.56,-5.44,10.56,10.56,18,18,5.44,16,16,2,-16,-10.56,0,-16,-10.56,0,111.582,17,11.56,0.68,110.582,1,1
20,1.53,0.47,13.77,4.77,24.77,-4.23,4.77,-15.23,9,29,4.23,9,-11,20,-9,-4.77,-20,11,15.23,20,108.262,9,4.77,0.53,108.262,0,20
21,1.89,0.11,17.01,17.01,25.01,-0.99,-0.99,-8.99,18,26,0.99,0,-8,26,0,0.99,-8,8,8.99,8,65.758,9,8.01,0.89,56.757999999999996,9,17
22,1.84,0.16,27.6,31.6,18.6,-2.4,-6.4,6.6,34,21,2.4,-4,9,25,4,6.4,13,-9,-6.6,-13,134.276,15,12.6,0.84,115.27600000000001,19,6
23,1.44,0.56,14.4,5.4,9.4,-5.6,3.4,-0.6,11,15,5.6,9,5,6,-9,-3.4,-4,-5,0.6,4,52.764,10,4.4,0.44,51.764,1,5
24,1.79,0.21,3.58,3.58,18.58,-0.42,-0.42,-15.42,4,19,0.42,0,-15,19,0,0.42,-15,15,15.42,15,12.21,2,1.58,0.79,10.21,2,17
25,1.11,0.89,16.65,17.65,18.65,-13.35,-14.35,-15.35,31,32,13.35,-1,-2,33,1,14.35,-1,2,15.35,1,255.804,15,1.65,0.11,239.804,16,17
26,1.9,0.1,19.0,10.0,29.0,-1.0,8.0,-11.0,11,30,1.0,9,-10,21,-9,-8.0,-19,10,11.0,19,70.376,10,9.0,0.9,69.376,1,20
27,1.26,0.74,23.94,19.94,21.94,-14.06,-10.06,-12.06,34,36,14.06,4,2,32,-4,10.06,-2,-2,12.06,2,303.17,19,4.94,0.26,288.17,15,17
28,1.81,0.19,3.62,11.62,1.62,-0.38,-8.38,1.62,12,2,0.38,-8,2,10,8,8.38,10,-2,-1.62,-10,12.394,2,1.62,0.81,2.394,10,0
29,1.18,0.82,17.7,10.7,11.7,-12.3,-5.3,-6.3,23,24,12.3,7,6,17,-7,5.3,-1,-6,6.3,1,140.212,15,2.7,0.18,132.212,8,9
30,1.34,0.66,14.74,4.74,21.74,-7.26,2.74,-14.26,12,29,7.26,10,-7,19,-10,-2.74,-17,7,14.26,17,154.446,11,3.74,0.34,153.446,1,18
31,1.39,0.61,22.24,15.24,10.24,-9.76,-2.76,2.24,25,20,9.76,7,12,13,-7,2.76,5,-12,-2.24,-5,101.796,16,6.24,0.39,92.796,9,4
32,1.82,0.18,1.82,16.82,18.82,-0.18,-15.18,-17.18,17,19,0.18,-15,-17,34,15,15.18,-2,17,17.18,2,20.196,1,0.82,0.82,4.1960000000000015,16,18
33,1.47,0.53,23.52,11.52,10.52,-8.48,3.52,4.52,20,19,8.48,12,13,7,-12,-3.52,1,-13,-4.52,-1,94.082,16,7.52,0.47,90.082,4,3
34,1.91,0.09,21.01,10.01,18.01,-0.99,10.01,2.01,11,19,0.99,11,3,8,-11,-10.01,-8,-3,-2.01,8,68.146,11,10.01,0.91,68.146,0,8
35,1.79,0.21,5.37,9.37,19.37,-0.63,-4.63,-14.63,10,20,0.63,-4,-14,24,4,4.63,-10,14,14.63,10,22.434,3,2.37,0.79,15.434000000000001,7,17
36,1.62,0.38,27.54,14.54,17.54,-6.46,6.54,3.54,21,24,6.46,13,10,11,-13,-6.54,-3,-10,-3.54,3,144.026,17,10.54,0.62,140.026,4,7
37,1.39,0.61,11.12,9.12,9.12,-4.88,-2.88,-2.88,14,14,4.88,2,2,12,-2,2.88,0,-2,2.88,0,48.914,8,3.12,0.39,42.914,6,6
38,1.45,0.55,21.75,22.75,15.75,-8.25,-9.25,-2.25,31,24,8.25,-1,6,25,1,9.25,7,-6,2.25,-7,144.262,15,6.75,0.45,128.262,16,9
39,1.4,0.6,28.0,20.0,9.0,-12.0,-4.0,7.0,32,21,12.0,8,19,13,-8,4.0,11,-19,-7.0,-11,108.056,20,8.0,0.4,96.056,12,1
40,1.75,0.25,3.5,12.5,7.5,-0.5,-9.5,-4.5,13,8,0.5,-9,-4,17,9,9.5,5,4,4.5,-5,16.124,2,1.5,0.75,5.123999999999999,11,6
41,1.19,0.81,11.9,5.9,19.9,-8.1,-2.1,-16.1,14,28,8.1,6,-8,22,-6,2.1,-14,8,16.1,14,160.364,10,1.9,0.19,156.364,4,18
42,1.57,0.43,23.55,21.55,14.55,-6.45,-4.45,2.55,28,21,6.45,2,9,19,-2,4.45,7,-9,-2.55,-7,119.304,15,8.55,0.57,106.304,13,6
43,1.49,0.51,1.49,18.49,1.49,-0.51,-17.51,-0.51,19,2,0.51,-17,0,19,17,17.51,17,0,0.51,-17,19.0,1,0.49,0.49,1.0,18,1
44,1.51,0.49,3.02,2.02,18.02,-0.98,0.02,-15.98,3,19,0.98,1,-15,18,-1,-0.02,-16,15,15.98,16,20.044,2,1.02,0.51,19.044,1,17
45,1.23,0.77,11.07,8.07,4.07,-6.93,-3.93,0.07,15,11,6.93,3,7,8,-3,3.93,4,-7,-0.07,-4,30.064,9,2.07,0.23,24.064,6,2
46,1.68,0.32,30.24,28.24,20.24,-5.76,-3.76,4.24,34,26,5.76,2,10,24,-2,3.76,8,-10,-4.24,-8,178.95,18,12.24,0.68,162.95,16,8
47,1.25,0.75,8.75,4.75,21.75,-5.25,-1.25,-18.25,10,27,5.25,4,-13,23,-4,1.25,-17,13,18.25,17,116.022,7,1.75,0.25,113.022,3,20
48,1.83,0.17,1.83,9.83,18.83,-0.17,-8.17,-17.17,10,19,0.17,-8,-17,27,8,8.17,-9,17,17.17,9,12.754,1,0.83,0.83,3.7539999999999996,9,18
49,1.61,0.39,30.59,15.59,18.59,-7.41,7.59,4.59,23,26,7.41,15,12,11,-15,-7.59,-3,-12,-4.59,3,172.044,19,11.59,0.61,168.044,4,7
50,1.82,0.18,3.64,5.64,4.64,-0.36,-2.36,-1.36,6,5,0.36,-2,-1,7,2,2.36,1,1,1.36,-1,7.598,2,1.64,0.82,3.598,4,3
51,1.59,0.41,17.49,25.49,20.49,-4.51,-12.51,-7.51,30,25,4.51,-8,-3,33,8,12.51,5,3,7.51,-5,120.37,11,6.49,0.59,101.37,19,14
52,1.37,0.63,26.03,11.03,25.03,-11.97,3.03,-10.97,23,37,11.97,15,1,22,-15,-3.03,-14,-1,10.97,14,289.63,19,7.03,0.37,285.63,4,18
53,1.53,0.47,24.48,20.48,9.48,-7.52,-3.52,7.48,28,17,7.52,4,15,13,-4,3.52,11,-15,-7.48,-11,92.69,16,8.48,0.53,80.69,12,1
54,1.57,0.43,7.85,15.85,20.85,-2.15,-10.15,-15.15,18,23,2.15,-8,-13,31,8,10.15,-5,13,15.15,5,60.54,5,2.85,0.57,47.54,13,18
55,1.27,0.73,15.24,11.24,13.24,-8.76,-4.76,-6.76,20,22,8.76,4,2,18,-4,4.76,-2,-2,6.76,2,116.304,12,3.24,0.27,108.304,8,10
56,1.3,0.7,26.0,24.0,22.0,-14.0,-12.0,-10.0,38,36,14.0,2,4,34,-2,12.0,2,-4,10.0,-2,305.864,20,6.0,0.3,287.864,18,16
57,1.87,0.13,33.66,34.66,23.66,-2.34,-3.34,7.66,37,26,2.34,-1,10,27,1,3.34,11,-10,-7.66,-11,186.34,18,15.66,0.87,167.34,19,8
58,1.41,0.59,4.23,4.23,9.23,-1.77,-1.77,-6.77,6,11,1.77,0,-5,11,0,1.77,-5,5,6.77,5,19.418,3,1.23,0.41,16.418,3,8
59,1.31,0.69,14.41,12.41,7.41,-7.59,-5.59,-0.59,20,15,7.59,2,7,13,-2,5.59,5,-7,0.59,-5,59.676,11,3.41,0.31,50.676,9,4
60,1.26,0.74,13.86,6.86,20.86,-8.14,-1.14,-15.14,15,29,8.14,7,-7,22,-7,1.14,-14,7,15.14,14,167.17,11,2.86,0.26,163.17,4,18
61,1.69,0.31,16.9,22.9,25.9,-3.1,-9.1,-12.1,26,29,3.1,-6,-9,35,6,9.1,-3,9,12.1,3,112.0,10,6.9,0.69,96.0,16,19
62,1.19,0.81,14.28,22.28,9.28,-9.72,-17.72,-4.72,32,19,9.72,-8,5,27,8,17.72,13,-5,4.72,-13,103.252,12,2.28,0.19,83.252,20,7
63,1.05,0.95,8.4,19.4,16.4,-7.6,-18.6,-15.6,27,24,7.6,-11,-8,35,11,18.6,3,8,15.6,-3,142.894,8,0.4,0.05,123.894,19,16
64,1.29,0.71,18.06,11.06,8.06,-9.94,-2.94,0.06,21,18,9.94,7,10,11,-7,2.94,3,-10,-0.06,-3,76.83,14,4.06,0.29,69.83,7,4
65,1.45,0.55,11.6,17.6,11.6,-4.4,-10.4,-4.4,22,16,4.4,-6,0,22,6,10.4,6,0,4.4,-6,65.502,8,3.6,0.45,51.501999999999995,14,8
66,1.22,0.78,24.4,11.4,12.4,-15.6,-2.6,-3.6,27,28,15.6,13,12,15,-13,2.6,-1,-12,3.6,1,178.588,20,4.4,0.22,171.588,7,8
67,1.57,0.43,10.99,7.99,9.99,-3.01,-0.01,-2.01,11,13,3.01,3,1,10,-3,0.01,-2,-1,2.01,2,38.038,7,3.99,0.57,34.038,4,6
68,1.48,0.52,1.48,10.48,8.48,-0.52,-9.52,-7.52,11,9,0.52,-9,-7,18,9,9.52,2,7,7.52,-2,14.724,1,0.48,0.48,4.724,10,8
69,1.29,0.71,14.19,7.19,4.19,-7.81,-0.81,2.19,15,12,7.81,7,10,5,-7,0.81,3,-10,-2.19,-3,30.956,11,3.19,0.29,26.956,4,1
70,1.67,0.33,21.71,28.71,10.71,-4.29,-11.29,6.71,33,15,4.29,-7,11,22,7,11.29,18,-11,-6.71,-18,89.098,13,8.71,0.67,69.098,20,2
71,1.62,0.38,1.62,15.62,8.62,-0.38,-14.38,-7.38,16,9,0.38,-14,-7,23,14,14.38,7,7,7.38,-7,18.702,1,0.62,0.62,3.7020000000000017,15,8
72,1.31,0.69,9.17,16.17,4.17,-4.83,-11.83,0.17,21,9,4.83,-7,5,16,7,11.83,12,-5,-0.17,-12,32.094,7,2.17,0.31,18.094,14,2
73,1.26,0.74,25.2,7.2,19.2,-14.8,3.2,-8.8,22,34,14.8,18,6,16,-18,-3.2,-12,-6,8.8,12,263.566,20,5.2,0.26,261.566,2,14
74,1.75,0.25,12.25,13.25,24.25,-1.75,-2.75,-13.75,15,26,1.75,-1,-12,27,1,2.75,-11,12,13.75,11,62.584,7,5.25,0.75,54.584,8,19
75,1.36,0.64,1.36,8.36,18.36,-0.64,-7.64,-17.64,9,19,0.64,-7,-17,26,7,7.64,-10,17,17.64,10,20.05,1,0.36,0.36,12.05,8,18
76,1.48,0.52,26.64,26.64,24.64,-9.36,-9.36,-7.36,36,34,9.36,0,2,34,0,9.36,2,-2,7.36,-2,249.808,18,8.64,0.48,231.808,18,16
77,1.08,0.92,18.36,6.36,5.36,-15.64,-3.64,-2.64,22,21,15.64,12,13,9,-12,3.64,1,-13,2.64,-1,79.184,17,1.36,0.08,74.184,5,4
78,1.56,0.44,21.84,14.84,14.84,-6.16,0.84,0.84,21,21,6.16,7,7,14,-7,-0.84,0,-7,-0.84,0,109.404,14,7.84,0.56,102.404,7,7
79,1.95,0.05,35.1,29.1,22.1,-0.9,5.1,12.1,30,23,0.9,6,13,17,-6,-5.1,7,-13,-12.1,-7,178.742,18,17.1,0.95,166.742,12,5
80,1.13,0.87,10.17,7.17,9.17,-7.83,-4.83,-6.83,15,17,7.83,3,1,14,-3,4.83,-2,-1,6.83,2,74.452,9,1.17,0.13,68.452,6,8
81,1.06,0.94,11.66,4.66,0.66,-10.34,-3.34,0.66,15,11,10.34,7,11,4,-7,3.34,4,-11,-0.66,-4,7.472,11,0.66,0.06,3.4720000000000004,4,0
82,1.34,0.66,16.08,5.08,21.08,-7.92,3.08,-12.92,13,29,7.92,11,-5,18,-11,-3.08,-16,5,12.92,16,162.42,12,4.08,0.34,161.42,1,17
83,1.52,0.48,25.84,25.84,9.84,-8.16,-8.16,7.84,34,18,8.16,0,16,18,0,8.16,16,-16,-7.84,-16,105.614,17,8.84,0.52,88.614,17,1
84,1.46,0.54,11.68,9.68,6.68,-4.32,-2.32,0.68,14,11,4.32,2,5,9,-2,2.32,3,-5,-0.68,-3,35.376,8,3.68,0.46,29.375999999999998,6,3
85,1.63,0.37,1.63,15.63,8.63,-0.37,-14.37,-7.37,16,9,0.37,-14,-7,23,14,14.37,7,7,7.37,-7,18.59,1,0.63,0.63,3.59,15,8
86,1.55,0.45,13.95,24.95,9.95,-4.05,-15.05,-0.05,29,14,4.05,-11,4,25,11,15.05,15,-4,0.05,-15,65.296,9,4.95,0.55,45.29600000000001,20,5
87,1.32,0.68,7.92,1.92,15.92,-4.08,1.92,-12.08,6,20,4.08,6,-8,14,-6,-1.92,-14,8,12.08,14,64.194,6,1.92,0.32,64.194,0,14
88,1.69,0.31,16.9,21.9,23.9,-3.1,-8.1,-10.1,25,27,3.1,-5,-7,32,5,8.1,-2,7,10.1,2,106.246,10,6.9,0.69,91.246,15,17
89,1.76,0.24,1.76,0.76,10.76,-0.24,0.76,-9.24,1,11,0.24,1,-9,10,-1,-0.76,-10,9,9.24,10,3.07,1,0.76,0.76,3.07,0,10
90,1.28,0.72,3.84,9.84,10.84,-2.16,-8.16,-9.16,12,13,2.16,-6,-7,19,6,8.16,-1,7,9.16,1,32.492,3,0.84,0.28,23.491999999999997,9,10
91,1.42,0.58,22.72,18.72,23.72,-9.28,-5.28,-10.28,28,33,9.28,4,-1,29,-4,5.28,-5,1,10.28,5,227.922,16,6.72,0.42,215.922,12,17
92,1.54,0.46,4.62,17.62,14.62,-1.38,-14.38,-11.38,19,16,1.38,-13,-10,29,13,14.38,3,10,11.38,-3,37.2,3,1.62,0.54,21.200000000000003,16,13
93,1.18,0.82,3.54,6.54,6.54,-2.46,-5.46,-5.46,9,9,2.46,-3,-3,12,3,5.46,0,3,5.46,0,21.89,3,0.54,0.18,15.89,6,6
94,1.56,0.44,21.84,25.84,23.84,-6.16,-10.16,-8.16,32,30,6.16,-4,-2,34,4,10.16,2,2,8.16,-2,174.002,14,7.84,0.56,156.002,18,16
95,1.46,0.54,10.22,14.22,6.22,-3.78,-7.78,0.22,18,10,3.78,-4,4,14,4,7.78,8,-4,-0.22,-8,35.404,7,3.22,0.46,24.404000000000003,11,3
96,1.79,0.21,17.9,27.9,18.9,-2.1,-12.1,-3.1,30,21,2.1,-10,-1,31,10,12.1,9,1,3.1,-9,87.142,10,7.9,0.79,67.142,20,11
97,1.8,0.2,30.6,19.6,24.6,-3.4,7.6,2.6,23,28,3.4,11,6,17,-11,-7.6,-5,-6,-2.6,5,166.94,17,13.6,0.8,160.94,6,11
98,1.11,0.89,22.2,15.2,13.2,-17.8,-10.8,-8.8,33,31,17.8,7,9,24,-7,10.8,2,-9,8.8,-2,232.352,20,2.2,0.11,219.352,13,11
99,1.37,0.63,15.07,19.07,20.07,-6.93,-10.93,-11.93,26,27,6.93,-4,-5,31,4,10.93,-1,5,11.93,1,149.962,11,4.07,0.37,134.962,15,16
100,1.07,0.93,6.42,15.42,4.42,-5.58,-14.58,-3.58,21,10,5.58,-9,2,19,9,14.58,11,-2,3.58,-11,38.86,6,0.42,0.07,23.86,15,4
101,1.18,0.82,2.36,6.36,4.36,-1.64,-5.64,-3.64,8,6,1.64,-4,-2,10,4,5.64,2,2,3.64,-2,13.124,2,0.36,0.18,7.1240000000000006,6,4
102,1.86,0.14,5.58,8.58,22.58,-0.42,-3.42,-17.42,9,23,0.42,-3,-17,26,3,3.42,-14,17,17.42,14,19.994,3,2.58,0.86,13.994,6,20
103,1.2,0.8,20.4,19.4,17.4,-13.6,-12.6,-10.6,33,31,13.6,1,3,30,-1,12.6,2,-3,10.6,-2,237.064,17,3.4,0.2,221.064,16,14
104,1.94,0.06,7.76,12.76,11.76,-0.24,-5.24,-4.24,13,12,0.24,-5,-4,17,5,5.24,1,4,4.24,-1,20.37,4,3.76,0.94,11.370000000000001,9,8
105,1.5,0.5,7.5,16.5,14.5,-2.5,-11.5,-9.5,19,17,2.5,-9,-7,26,9,11.5,2,7,9.5,-2,50.366,5,2.5,0.5,36.366,14,12
106,1.77,0.23,1.77,15.77,15.77,-0.23,-14.23,-14.23,16,16,0.23,-14,-14,30,14,14.23,0,14,14.23,0,19.024,1,0.77,0.77,4.024000000000001,15,15
107,1.93,0.07,9.65,22.65,13.65,-0.35,-13.35,-4.35,23,14,0.35,-13,-4,27,13,13.35,9,4,4.35,-9,35.252,5,4.65,0.93,17.252000000000002,18,9
108,1.36,0.64,13.6,21.6,20.6,-6.4,-14.4,-13.4,28,27,6.4,-8,-7,35,8,14.4,1,7,13.4,-1,145.842,10,3.6,0.36,127.84200000000001,18,17
109,1.06,0.94,21.2,21.2,11.2,-18.8,-18.8,-8.8,40,30,18.8,0,10,30,0,18.8,10,-10,8.8,-10,220.362,20,1.2,0.06,200.362,20,10
110,1.28,0.72,5.12,21.12,7.12,-2.88,-18.88,-4.88,24,10,2.88,-16,-2,26,16,18.88,14,2,4.88,-14,40.032,4,1.12,0.28,20.031999999999996,20,6
111,1.25,0.75,11.25,5.25,22.25,-6.75,-0.75,-17.75,12,29,6.75,6,-11,23,-6,0.75,-17,11,17.75,17,148.692,9,2.25,0.25,145.692,3,20
112,1.44,0.56,10.08,8.08,10.08,-3.92,-1.92,-3.92,12,14,3.92,2,0,12,-2,1.92,-2,0,3.92,2,45.124,7,3.08,0.44,40.124,5,7
113,1.28,0.72,10.24,17.24,20.24,-5.76,-12.76,-15.76,23,26,5.76,-7,-10,33,7,12.76,-3,10,15.76,3,130.016,8,2.24,0.28,115.01599999999999,15,18
114,1.65,0.35,11.55,20.55,14.55,-2.45,-11.45,-5.45,23,17,2.45,-9,-3,26,9,11.45,6,3,5.45,-6,58.518,7,4.55,0.65,42.518,16,10
115,1.67,0.33,5.01,11.01,10.01,-0.99,-6.99,-5.99,12,11,0.99,-6,-5,17,6,6.99,1,5,5.99,-1,20.908,3,2.01,0.67,11.908000000000001,9,8
116,1.66,0.34,13.28,21.28,25.28,-2.72,-10.72,-14.72,24,28,2.72,-8,-12,36,8,10.72,-4,12,14.72,4,95.41,8,5.28,0.66,79.41,16,20
117,1.75,0.25,19.25,25.25,9.25,-2.75,-8.75,7.25,28,12,2.75,-6,10,18,6,8.75,16,-10,-7.25,-16,69.28,11,8.25,0.75,52.28,17,1
118,1.26,0.74,17.64,11.64,23.64,-10.36,-4.36,-16.36,22,34,10.36,6,-6,28,-6,4.36,-12,6,16.36,12,241.828,14,3.64,0.26,233.828,8,20
119,1.48,0.52,8.88,19.88,18.88,-3.12,-14.12,-13.12,23,22,3.12,-11,-10,33,11,14.12,1,10,13.12,-1,76.854,6,2.88,0.48,59.854,17,16
120,1.69,0.31,30.42,20.42,24.42,-5.58,4.42,0.42,26,30,5.58,10,6,20,-10,-4.42,-4,-6,-0.42,4,192.942,18,12.42,0.69,184.942,8,12
121,1.47,0.53,11.76,16.76,5.76,-4.24,-9.24,1.76,21,10,4.24,-5,6,15,5,9.24,11,-6,-1.76,-11,38.426,8,3.76,0.47,25.426000000000002,13,2
122,1.67,0.33,5.01,17.01,3.01,-0.99,-12.99,1.01,18,4,0.99,-12,2,16,12,12.99,14,-2,-1.01,-14,19.946,3,2.01,0.67,4.9460000000000015,15,1
123,1.63,0.37,1.63,18.63,5.63,-0.37,-17.37,-4.37,19,6,0.37,-17,-4,23,17,17.37,13,4,4.37,-13,20.408,1,0.63,0.63,2.4080000000000013,18,5
124,1.3,0.7,18.2,24.2,19.2,-9.8,-15.8,-10.8,34,29,9.8,-6,-1,35,6,15.8,5,1,10.8,-5,198.936,14,4.2,0.3,178.936,20,15
125,1.89,0.11,26.46,22.46,12.46,-1.54,2.46,12.46,24,14,1.54,4,14,10,-4,-2.46,10,-14,-12.46,-10,102.954,14,12.46,0.89,92.954,10,0
126,1.43,0.57,18.59,22.59,23.59,-7.41,-11.41,-12.41,30,31,7.41,-4,-5,35,4,11.41,-1,5,12.41,1,189.734,13,5.59,0.43,172.734,17,18
127,1.48,0.52,7.4,6.4,9.4,-2.6,-1.6,-4.6,9,12,2.6,1,-2,11,-1,1.6,-3,2,4.6,3,29.828,5,2.4,0.48,25.828,4,7
128,1.44,0.56,2.88,7.88,3.88,-1.12,-6.12,-2.12,9,5,1.12,-5,-1,10,5,6.12,4,1,2.12,-4,11.78,2,0.88,0.44,4.779999999999999,7,3
129,1.28,0.72,2.56,1.56,4.56,-1.44,-0.44,-3.44,3,6,1.44,1,-2,5,-1,0.44,-3,2,3.44,3,7.528,2,0.56,0.28,6.528,1,4
130,1.57,0.43,14.13,10.13,21.13,-3.87,0.13,-10.87,14,25,3.87,4,-7,21,-4,-0.13,-11,7,10.87,11,91.224,9,5.13,0.57,86.224,5,16
131,1.85,0.15,11.1,7.1,7.1,-0.9,3.1,3.1,8,8,0.9,4,4,4,-4,-3.1,0,-4,-3.1,0,21.818,6,5.1,0.85,19.818,2,2
132,1.63,0.37,21.19,15.19,13.19,-4.81,1.19,3.19,20,18,4.81,6,8,12,-6,-1.19,2,-8,-3.19,-2,88.096,13,8.19,0.63,81.096,7,5
133,1.84,0.16,11.04,24.04,20.04,-0.96,-13.96,-9.96,25,21,0.96,-13,-9,34,13,13.96,4,9,9.96,-4,51.732,6,5.04,0.84,32.732,19,15
134,1.4,0.6,19.6,11.6,7.6,-8.4,-0.4,3.6,20,16,8.4,8,12,8,-8,0.4,4,-12,-3.6,-4,64.98,14,5.6,0.4,58.980000000000004,6,2
135,1.55,0.45,23.25,24.25,11.25,-6.75,-7.75,5.25,31,18,6.75,-1,12,19,1,7.75,13,-12,-5.25,-13,103.104,15,8.25,0.55,87.104,16,3
136,1.46,0.54,23.36,27.36,14.36,-8.64,-12.64,0.36,36,23,8.64,-4,9,27,4,12.64,13,-9,-0.36,-13,142.646,16,7.36,0.46,122.64599999999999,20,7
137,1.56,0.44,24.96,15.96,14.96,-7.04,1.96,2.96,23,22,7.04,9,10,13,-9,-1.96,1,-10,-2.96,-1,124.44,16,8.96,0.56,117.44,7,6
138,1.45,0.55,7.25,9.25,4.25,-2.75,-4.75,0.25,12,7,2.75,-2,3,9,2,4.75,5,-3,-0.25,-5,19.258,5,2.25,0.45,12.258,7,2
139,1.16,0.84,3.48,18.48,0.48,-2.52,-17.52,0.48,21,3,2.52,-15,3,18,15,17.52,18,-3,-0.48,-18,18.902,3,0.48,0.16,0.902000000000001,18,0
140,1.67,0.33,26.72,15.72,28.72,-5.28,5.72,-7.28,21,34,5.28,11,-2,23,-11,-5.72,-13,2,7.28,13,191.246,16,10.72,0.67,186.246,5,18
141,1.67,0.33,28.39,18.39,12.39,-5.61,4.39,10.39,24,18,5.61,10,16,8,-10,-4.39,6,-16,-10.39,-6,114.802,17,11.39,0.67,107.802,7,1
142,1.06,0.94,11.66,1.66,15.66,-10.34,-0.34,-14.34,12,26,10.34,10,-4,16,-10,0.34,-14,4,14.34,14,159.736,11,0.66,0.06,158.736,1,15
143,1.2,0.8,9.6,16.6,10.6,-6.4,-13.4,-7.4,23,17,6.4,-7,-1,24,7,13.4,6,1,7.4,-6,79.688,8,1.6,0.2,64.688,15,9
144,1.43,0.57,18.59,15.59,7.59,-7.41,-4.41,3.59,23,15,7.41,3,11,12,-3,4.41,8,-11,-3.59,-8,64.566,13,5.59,0.43,54.566,10,2
145,1.81,0.19,19.91,19.91,9.91,-2.09,-2.09,7.91,22,12,2.09,0,10,12,0,2.09,10,-10,-7.91,-10,66.744,11,8.91,0.81,55.744,11,1
146,1.61,0.39,17.71,14.71,19.71,-4.29,-1.29,-6.29,19,24,4.29,3,-2,21,-3,1.29,-5,2,6.29,5,104.62,11,6.71,0.61,96.62,8,13
