,(((M*p)+(n*p))-(M*p)*(n*p)),((M*p)+(n*p)),((p+(M*p))-p*(M*p)),((p+(n*p))-p*(n*p)),(1+(M*p)),(1+(n*p)),(1+p),(1-(M*p)),(1-(n*p)),(1-p),(M*p),(M-n),(M-x),(n*p),(n+M),(n-M),(n-x),(p+(M*p)),(p+(n*p)),(x+M),(x+n),(x-M),(x-n),M,expected_post,n,p,post-init,x
67,-14.46,9.88,4.11,3.72,6.2,5.68,1.26,-4.2,-3.68,0.74,5.2,2,5,4.68,38,-2,3,5.46,4.94,35,33,-5,-3,20,15.526,18,0.26,0.5259999999999998,15
68,1.07,5.39,2.74,0.99,5.41,1.98,1.49,-3.41,0.02,0.51,4.41,7,-3,0.98,11,-7,-10,4.9,1.47,21,14,3,10,9,15.382,2,0.49,3.3819999999999997,12
69,-7.24,13.35,2.16,1.09,12.57,2.78,1.89,-10.57,-0.78,0.11,11.57,11,12,1.78,15,-11,1,12.46,2.67,14,3,-12,-1,13,10.76,2,0.89,9.76,1
70,0.7,3.42,1.95,1.21,3.16,2.26,1.18,-1.16,-0.26,0.82,2.16,5,-7,1.26,19,-5,-12,2.34,1.44,31,26,7,12,12,19.904,7,0.18,0.9039999999999999,19
71,-11.76,12.25,5.49,1.74,10.8,3.45,1.49,-8.8,-1.45,0.51,9.8,15,4,2.45,25,-15,-11,10.29,2.94,36,21,-4,11,20,23.172,5,0.49,7.172000000000001,16
72,-2.91,6.8,3.48,1.69,5.76,3.04,1.34,-3.76,-1.04,0.66,4.76,8,12,2.04,20,-8,4,5.1,2.38,16,8,-12,-4,14,4.65,6,0.34,2.6500000000000004,2
73,1.18,2.94,1.87,0.87,3.1,1.84,1.21,-1.1,0.16,0.79,2.1,6,-1,0.84,14,-6,-7,2.31,1.05,21,15,1,7,10,12.354,4,0.21,1.3539999999999992,11
74,-56.94,17.4,4.72,3.75,10.86,8.54,1.58,-8.86,-6.54,0.42,9.86,4,15,7.54,30,-4,11,10.44,8.12,19,15,-15,-11,17,4.264,13,0.58,2.2640000000000002,2
75,1.03,1.89,1.11,0.79,2.12,1.77,1.07,-0.12,0.23,0.93,1.12,5,5,0.77,27,-5,0,1.19,0.84,27,22,-5,0,16,11.292,11,0.07,0.2919999999999998,11
76,-24.05,12.24,2.74,2.13,8.2,6.04,1.72,-6.2,-4.04,0.28,7.2,3,-10,5.04,17,-3,-13,7.92,5.76,30,27,10,13,10,22.166,7,0.72,2.1660000000000004,20
77,-71.46,19.14,4.25,3.58,11.56,9.58,1.66,-9.56,-7.58,0.34,10.56,3,4,8.58,29,-3,1,11.22,9.24,28,25,-4,-1,16,13.996,13,0.66,1.9960000000000004,12
78,-91.48,21.78,5.15,3.58,14.2,9.58,1.66,-12.2,-7.58,0.34,13.2,7,3,8.58,33,-7,-4,13.86,9.24,37,30,-3,4,20,21.658,13,0.66,4.658000000000001,17
79,-3.68,8.85,3.49,1.32,8.08,2.77,1.59,-6.08,-0.77,0.41,7.08,9,-8,1.77,15,-9,-17,7.67,2.36,32,23,8,17,12,25.278,3,0.59,5.277999999999999,20
80,-3.91,8.36,4.39,1.56,7.46,2.9,1.38,-5.46,-0.9,0.62,6.46,12,2,1.9,22,-12,-10,6.84,2.28,32,20,-2,10,17,19.472,5,0.38,4.472000000000001,15
81,3.88,12.41,3.88,0.93,12.68,1.73,1.73,-10.68,0.27,0.27,11.68,15,6,0.73,17,-15,-9,12.41,1.46,26,11,-6,9,16,21.048,1,0.73,11.047999999999998,10
82,-49.34,16.32,5.22,4.22,10.12,8.2,1.48,-8.12,-6.2,0.52,9.12,4,10,7.2,34,-4,6,9.6,7.68,28,24,-10,-6,19,10.926,15,0.48,1.9260000000000002,9
83,-1.5,7.5,4.5,1.35,7.0,2.5,1.3,-5.0,-0.5,0.7,6.0,15,11,1.5,25,-15,-4,6.3,1.8,29,14,-11,4,20,13.318,5,0.3,4.318,9
84,-82.47,20.28,5.51,5.26,11.4,10.88,1.52,-9.4,-8.88,0.48,10.4,1,6,9.88,39,-1,5,10.92,10.4,34,33,-6,-5,20,14.55,19,0.52,0.5500000000000007,14
85,-167.84,28.0,3.68,3.52,15.4,14.6,1.8,-13.4,-12.6,0.2,14.4,1,15,13.6,35,-1,14,15.2,14.4,21,20,-15,-14,18,3.808,17,0.8,0.8079999999999998,3
86,-0.71,6.58,3.21,1.22,6.17,2.41,1.47,-4.17,-0.41,0.53,5.17,8,-4,1.41,14,-8,-12,5.64,1.88,26,18,4,12,11,18.87,3,0.47,3.870000000000001,15
87,-5.94,15.4,3.96,1.12,14.86,2.54,1.77,-12.86,-0.54,0.23,13.86,16,5,1.54,20,-16,-11,14.63,2.31,31,15,-5,11,18,25.254,2,0.77,12.254000000000001,13
88,-9.12,8.37,3.3,3.09,5.34,5.03,1.31,-3.34,-3.03,0.69,4.34,1,0,4.03,27,-1,-1,4.65,4.34,28,27,0,1,14,14.3,13,0.31,0.3000000000000007,14
89,5.76,5.76,2.71,0.64,6.76,1.0,1.64,-4.76,1.0,0.36,5.76,9,-7,0.0,9,-9,-16,6.4,0.64,25,16,7,16,9,21.846,0,0.64,5.846,16
90,-5.9,7.26,3.14,2.97,4.74,4.52,1.22,-2.74,-2.52,0.78,3.74,1,13,3.52,33,-1,12,3.96,3.74,21,20,-13,-12,17,4.2,16,0.22,0.20000000000000018,4
91,-43.55,15.6,3.83,2.92,10.1,7.5,1.65,-8.1,-5.5,0.35,9.1,4,3,6.5,24,-4,-1,9.75,7.15,25,21,-3,1,14,13.604,10,0.65,2.603999999999999,11
92,0.81,0.9,0.79,0.17,1.78,1.12,1.06,0.22,0.88,0.94,0.78,11,11,0.12,15,-11,0,0.84,0.18,15,4,-11,0,13,2.684,2,0.06,0.6840000000000002,2
93,-18.98,11.27,3.99,2.74,7.86,5.41,1.49,-5.86,-3.41,0.51,6.86,5,-1,4.41,23,-5,-6,7.35,4.9,29,24,1,6,14,17.404,9,0.49,2.404,15
94,-27.19,15.0,3.56,1.69,12.25,4.75,1.75,-10.25,-2.75,0.25,11.25,10,15,3.75,20,-10,5,12.0,4.5,15,5,-15,-5,15,7.582,5,0.75,7.582,0
95,1.06,7.59,4.75,0.99,7.6,1.99,1.33,-5.6,0.01,0.67,6.6,17,18,0.99,23,-17,1,6.93,1.32,22,5,-18,-1,20,7.696,3,0.33,5.696,2
96,3.91,5.32,3.91,0.48,6.04,1.28,1.28,-4.04,0.72,0.72,5.04,17,13,0.28,19,-17,-4,5.32,0.56,23,6,-13,4,18,9.754,1,0.28,4.754,5
97,-104.41,22.91,3.61,2.78,14.43,10.48,1.79,-12.43,-8.48,0.21,13.43,5,8,9.48,29,-5,3,14.22,10.27,26,21,-8,-3,17,12.91,12,0.79,3.91,9
98,-2.21,9.31,4.49,1.24,8.84,2.47,1.49,-6.84,-0.47,0.51,7.84,13,16,1.47,19,-13,3,8.33,1.96,16,3,-16,-3,16,6.322,3,0.49,6.322,0
99,-6.26,7.6,3.21,2.26,5.56,4.04,1.38,-3.56,-2.04,0.62,4.56,4,-7,3.04,20,-4,-11,4.94,3.42,31,27,7,11,12,20.502,8,0.38,1.501999999999999,19
100,1.09,2.85,1.81,0.91,2.95,1.9,1.15,-0.95,0.1,0.85,1.95,7,9,0.9,19,-7,2,2.1,1.05,17,10,-9,-2,13,5.042,6,0.15,1.0419999999999998,4
101,-10.88,9.6,2.08,1.44,7.4,4.2,1.8,-5.4,-2.2,0.2,6.4,4,-6,3.2,12,-4,-10,7.2,4.0,22,18,6,10,8,17.162,4,0.8,3.161999999999999,14
102,-94.58,21.84,2.86,2.32,13.6,10.24,1.84,-11.6,-8.24,0.16,12.6,4,8,9.24,26,-4,4,13.44,10.08,22,18,-8,-4,15,10.356,11,0.84,3.356,7
103,0.93,1.36,0.88,0.59,1.85,1.51,1.17,0.15,0.49,0.83,0.85,2,-11,0.51,8,-2,-13,1.02,0.68,21,19,11,13,5,16.328,3,0.17,0.3279999999999994,16
104,-0.06,4.56,2.65,1.42,4.04,2.52,1.19,-2.04,-0.52,0.81,3.04,8,-2,1.52,24,-8,-10,3.23,1.71,34,26,2,10,16,19.43,8,0.19,1.4299999999999997,18
105,-2.91,5.98,2.2,1.95,4.22,3.76,1.46,-2.22,-1.76,0.54,3.22,1,-12,2.76,13,-1,-13,3.68,3.22,26,25,12,13,7,19.408,6,0.46,0.40800000000000125,19
106,-7.22,12.22,1.56,1.05,11.34,2.88,1.94,-9.34,-0.88,0.06,10.34,9,6,1.88,13,-9,-3,11.28,2.82,16,7,-6,3,11,13.45,2,0.94,8.45,5
107,-44.97,16.02,1.97,1.58,10.79,7.23,1.89,-8.79,-5.23,0.11,9.79,4,10,6.23,18,-4,6,10.68,7.12,12,8,-10,-6,11,4.596,7,0.89,3.596,1
108,-4.54,9.3,1.45,1.06,8.44,2.86,1.93,-6.44,-0.86,0.07,7.44,6,-10,1.86,10,-6,-16,8.37,2.79,26,20,10,16,8,23.584,2,0.93,5.584,18
109,1.47,3.9,1.47,0.95,4.12,1.78,1.78,-2.12,0.22,0.22,3.12,3,-12,0.78,5,-3,-15,3.9,1.56,20,17,12,15,4,18.284,1,0.78,2.283999999999999,16
110,-23.85,14.5,5.21,2.04,12.02,4.48,1.58,-10.02,-2.48,0.42,11.02,13,-1,3.48,25,-13,-14,11.6,4.06,39,26,1,14,19,27.614,6,0.58,7.614000000000001,20
111,0.53,0.6,0.48,0.19,1.45,1.15,1.05,0.55,0.85,0.95,0.45,6,9,0.15,12,-6,3,0.5,0.2,9,3,-9,-3,9,0.356,3,0.05,0.356,0
112,2.13,2.4,2.13,0.23,3.28,1.12,1.12,-1.28,0.88,0.88,2.28,18,19,0.12,20,-18,1,2.4,0.24,19,1,-19,-1,19,2.162,1,0.12,2.162,0
113,-4.16,6.9,3.59,2.18,5.37,3.53,1.23,-3.37,-1.53,0.77,4.37,8,10,2.53,30,-8,2,4.6,2.76,28,20,-10,-2,19,10.832,11,0.23,1.8320000000000007,9
114,-157.03,27.28,2.68,2.36,15.96,13.32,1.88,-13.96,-11.32,0.12,14.96,3,14,12.32,31,-3,11,15.84,13.2,20,17,-14,-11,17,5.632,14,0.88,2.6319999999999997,3
115,1.68,1.95,1.68,0.28,2.8,1.15,1.15,-0.8,0.85,0.85,1.8,11,9,0.15,13,-11,-2,1.95,0.3,15,4,-9,2,12,4.71,1,0.15,1.71,3
116,-24.73,12.25,3.99,3.24,7.86,6.39,1.49,-5.86,-4.39,0.51,6.86,3,14,5.39,25,-3,11,7.35,5.88,14,11,-14,-11,14,1.502,11,0.49,1.502,0
117,-17.91,11.25,4.41,2.68,8.2,5.05,1.45,-6.2,-3.05,0.55,7.2,7,-3,4.05,25,-7,-10,7.65,4.5,35,28,3,10,16,22.174,9,0.45,3.1739999999999995,19
118,3.12,3.12,2.61,0.24,4.12,1.0,1.24,-2.12,1.0,0.76,3.12,13,4,0.0,13,-13,-9,3.36,0.24,22,9,-4,9,13,12.18,0,0.24,3.1799999999999997,9
119,-4.88,14.25,3.94,1.12,13.75,2.5,1.75,-11.75,-0.5,0.25,12.75,15,10,1.5,19,-15,-5,13.5,2.25,24,9,-10,5,17,18.24,2,0.75,11.239999999999998,7
120,-86.97,20.77,4.21,3.99,11.72,11.05,1.67,-9.72,-9.05,0.33,10.72,1,5,10.05,31,-1,4,11.39,10.72,27,26,-5,-4,16,11.684,15,0.67,0.6839999999999993,11
121,-34.31,19.32,3.39,1.38,16.96,4.36,1.84,-14.96,-2.36,0.16,15.96,15,10,3.36,23,-15,-5,16.8,4.2,28,13,-10,5,19,21.584,4,0.84,12.584,9
122,-0.97,4.86,2.39,1.95,3.7,3.16,1.18,-1.7,-1.16,0.82,2.7,3,-4,2.16,27,-3,-7,2.88,2.34,34,31,4,7,15,19.542,12,0.18,0.5420000000000016,19
123,2.74,4.9,2.74,0.74,5.41,1.49,1.49,-3.41,0.51,0.51,4.41,8,2,0.49,10,-8,-6,4.9,0.98,16,8,-2,6,9,10.94,1,0.49,3.9399999999999995,7
124,-38.46,15.41,3.99,2.44,11.05,6.36,1.67,-9.05,-4.36,0.33,10.05,7,-4,5.36,23,-7,-11,10.72,6.03,34,27,4,11,15,23.664,8,0.67,4.6640000000000015,19
125,-168.08,28.71,3.13,2.34,18.4,12.31,1.87,-16.4,-10.31,0.13,17.4,7,9,11.31,33,-7,2,18.27,12.18,31,24,-9,-2,20,17.116,13,0.87,6.116,11
126,-32.19,13.53,4.52,4.28,7.97,7.56,1.41,-5.97,-5.56,0.59,6.97,1,10,6.56,33,-1,9,7.38,6.97,24,23,-10,-9,17,7.382,16,0.41,0.3819999999999997,7
127,1.34,1.95,1.34,0.63,2.56,1.39,1.39,-0.56,0.61,0.61,1.56,3,-10,0.39,5,-3,-13,1.95,0.78,18,15,10,13,4,15.168,1,0.39,1.1679999999999993,14
128,2.57,4.37,3.24,0.58,4.91,1.46,1.23,-2.91,0.54,0.77,3.91,15,3,0.46,19,-15,-12,4.14,0.69,31,16,-3,12,17,17.476,2,0.23,3.475999999999999,14
129,-15.01,10.08,3.02,2.53,6.6,5.48,1.56,-4.6,-3.48,0.44,5.6,2,4,4.48,18,-2,2,6.16,5.04,16,14,-4,-2,10,7.104,8,0.56,1.104,6
130,-2.04,6.6,2.52,1.32,5.8,2.8,1.6,-3.8,-0.8,0.4,4.8,5,0,1.8,11,-5,-5,5.4,2.4,16,11,0,5,8,10.962,3,0.6,2.9619999999999997,8
131,-53.06,18.76,5.09,2.44,14.4,6.36,1.67,-12.4,-4.36,0.33,13.4,12,20,5.36,28,-12,8,14.07,6.03,20,8,-20,-8,20,8.094,8,0.67,8.094,0
